State,Up,Down,Left,Right,Stop
0,0.0,705.7291686802383,0.0,705.6663792912233,0.0
1,0.0,942.221916861972,527.7537392178054,943.0558935506444,0.0
2,0.0,1259.0209921163455,705.6663187628474,1257.9192673255386,0.0
3,0.0,1678.5656542563117,942.402755698475,942.4141389310275,0.0
4,0.0,1258.9324072445556,1257.9206537323123,705.0038915425504,0.0
5,0.0,943.0134280856059,942.3100522650715,527.7661479937223,0.0
6,0.0,704.4629125391608,706.1365649319446,394.6477206174496,0.0
7,0.0,527.9185721367274,527.4269071258678,295.1983006052222,0.0
8,0.0,394.9638790836842,394.6477104945822,0.0,0.0
9,528.2956780627665,941.189949421345,0.0,942.3139296340267,0.0
10,705.6598197316032,1257.7531448538768,705.7280048673763,1256.2838252735694,0.0
11,942.2790047864007,1680.381831544108,942.3032293191989,1678.5555500382147,0.0
12,1257.8872091338355,2239.4209053187205,1257.8753047856285,1256.4662042609993,0.0
13,943.1991187087045,1680.0751809662938,1678.55534516858,942.2356844205283,0.0
14,705.0263637156474,1256.1788389301908,1258.9282442060116,705.1592272633158,0.0
15,528.5938191923738,941.7253343942102,943.0141380211419,527.8824416585426,0.0
16,394.6375863063381,705.2928305607866,705.1507709243682,394.9640799159413,0.0
17,295.2171175870535,527.9502990474411,527.9593385308631,0.0,0.0
18,705.7333885695537,1257.7447400748672,0.0,1257.7532584171445,0.0
19,942.2279282283216,1678.3376780482527,942.3110325028538,1676.4552401706715,0.0
20,1258.9860750163193,2241.844922717283,1257.753258536036,2239.3930403094982,0.0
21,1678.552747415639,2990.515241227816,1680.1995927062642,1680.2510634135742,0.0
22,1256.4661460674195,2241.708525862903,2241.639662970294,1258.7724799045081,0.0
23,941.3753185863072,1680.2419761600981,1678.4174709181682,941.7130000549408,0.0
24,705.0962421852722,1256.9694209547338,1258.881799939037,702.1706842349479,0.0
25,527.9010010431062,934.908830616165,941.7253363106925,527.6342631252086,0.0
26,394.88937885103246,705.1934675898469,705.2815450634314,0.0,0.0
27,942.2979770588558,942.2042853736249,0.0,1680.3877734814175,0.0
28,1257.7520953094424,1257.3771399915597,1259.136855688851,2242.152048783044,0.0
29,1678.5426946147243,1680.3609458401493,1678.2006661673925,2990.8767490715086,0.0
30,2240.8354138068257,2241.881434333174,2239.0407635268925,2242.131799186478,3989.173972364445
31,1680.095870191815,1680.3663336559214,2990.880136376589,1679.9750965450955,0.0
32,1259.1461777368065,1257.8858049714224,2241.695505932739,1258.5715201375983,0.0
33,941.7257529489547,942.4993436360983,1680.2686526548875,941.5996236414519,0.0
34,705.211892621289,705.8417043549192,1256.7995141400545,705.1995087080248,0.0
35,527.429760549792,528.159116086284,941.5996239417826,0.0,0.0
36,1259.1266320979582,0.0,0.0,1257.8678794787565,0.0
37,1680.3726344702216,0.0,942.2890185069631,1678.493695827306,0.0
38,2242.1265959004995,0.0,1259.093423399136,2242.1527428464187,0.0
39,2990.8770503136216,0.0,1680.1424977198533,1680.4220991546204,0.0
40,2242.1549916963777,0.0,2242.1266503138468,1256.9543854088477,0.0
41,1677.1892852777219,0.0,1678.6772952558722,942.4911252490001,0.0
42,1256.0329148036685,0.0,1258.0052126391904,705.1680740676063,0.0
43,940.9576145612582,0.0,942.4659356110118,528.327608244777,0.0
44,705.188968586978,0.0,705.836290489924,0.0,0.0
